,num_ue,cost,alpha
0,100.0,2103.0582307025775,1.5
0,200.0,5448.531883679265,1.5
0,400.0,10510.002737324976,1.5
0,600.0,13456.285597838989,1.5
0,100.0,1821.6344517200437,2.5
0,200.0,5564.997431087094,2.5
0,400.0,11425.138146477493,2.5
0,600.0,14877.405110022382,2.5
0,100.0,2021.9373768467885,3.5
0,200.0,4470.455548625876,3.5
0,400.0,7608.434511487249,3.5
0,600.0,19811.58211238557,3.5
0,100.0,2348.24219576732,4.5
0,200.0,5764.030117543825,4.5
0,400.0,9402.355163044671,4.5
0,600.0,17736.395304773832,4.5
0,150.0,2756.4320222223687,1.5
0,250.0,4546.886961518023,1.5
0,350.0,6454.393429127247,1.5
0,150.0,2944.905563962466,2.5
0,250.0,4978.69712344975,2.5
0,350.0,9487.391972515874,2.5
0,150.0,3258.161436753289,3.5
0,250.0,4506.8543955024925,3.5
0,350.0,9536.692917878245,3.5
0,150.0,2889.4484854932243,4.5
0,250.0,5749.235723212172,4.5
0,350.0,8353.086701996544,4.5
